country_code,country_name,region,income_level,capital_city,latitude,longitude,gdp_per_capita,gdp_per_capita_year,life_expectancy,life_expectancy_year,internet_users_pct,internet_users_pct_year,urban_population_pct,urban_population_pct_year,unemployment_pct,unemployment_pct_year,electricity_access_pct,electricity_access_pct_year,co2_mt_total_2018,population_2018,co2_tons_per_capita_2018
EGY,"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,Cairo,30.0982,31.2461,3338.47371395895,2024.0,71.806,2024,74.64839935,2024.0,42.8004363938404,2024,6.817,2024.0,100.0,2023.0,246.26,105682094.0,2.330196068976453
ERI,Eritrea,Sub-Saharan Africa,Low income,Asmara,15.3315,38.9183,,,68.893,2024,14.34939957,2020.0,34.5365524291992,2024,5.947,2024.0,54.4,2023.0,0.8,3192760.0,0.2505669076285095
ESP,Spain,Europe & Central Asia,High income,Madrid,40.4167,-3.70327,35326.7683069278,2024.0,83.8878048780488,2024,95.7574516,2024.0,80.315199821207,2024,11.4,2024.0,100.0,2023.0,258.34,46782011.0,5.522208098322237
EST,Estonia,Europe & Central Asia,High income,Tallinn,59.4392,24.7586,31428.3547816104,2024.0,79.2951219512195,2024,92.23796204,2024.0,70.6981161541961,2024,7.6,2024.0,100.0,2023.0,16.0,1321977.0,12.103085000722404
ETH,Ethiopia,Sub-Saharan Africa,Not classified,Addis Ababa,9.02274,38.7468,1133.88279681719,2024.0,67.603,2024,21.94129944,2024.0,23.6222839355469,2024,3.357,2024.0,55.4,2023.0,16.28,112664152.0,0.14450026659766632
FIN,Finland,Europe & Central Asia,High income,Helsinki,60.1608,24.9525,53149.7671934051,2024.0,82.3365853658537,2024,93.72405196,2024.0,74.2637190463636,2024,8.4,2024.0,100.0,2023.0,44.36,5515525.0,8.042752049895523
FJI,Fiji,East Asia & Pacific,Upper middle income,Suva,-18.1149,178.399,6425.74151715712,2024.0,67.463,2024,74.7052002,2024.0,59.0766602292457,2024,5.361,2024.0,99.3,2023.0,1.9,917180.0,2.0715671950980177
FRA,France,Europe & Central Asia,High income,Paris,48.8566,2.35097,46103.0840855884,2024.0,82.9804878048781,2024,88.65381638,2024.0,78.7999750964116,2024,7.4,2024.0,100.0,2023.0,309.96,67158348.0,4.615360699462113
FRO,Faroe Islands,Europe & Central Asia,High income,Torshavn,61.8926,-6.91181,74119.6607553879,2024.0,83.0832463414634,2024,,,39.4132325882965,2024,,,100.0,2023.0,,,
FSM,"Micronesia, Fed. Sts.",East Asia & Pacific,Lower middle income,Palikir,6.91771,158.185,4166.00476748564,2024.0,67.357,2024,39.52360153,2024.0,22.4562830235421,2024,,,86.9,2023.0,0.18,109909.0,1.6377184761939423
