country_code,country_name,region,income_level,log_gdp_per_capita,life_expectancy,internet_users_pct,urban_population_pct,unemployment_pct,electricity_access_pct,log1p_co2_tons_per_capita_2018,z_log_gdp_per_capita,z_life_expectancy,z_internet_users_pct,z_urban_population_pct,z_unemployment_pct,z_electricity_access_pct,z_log1p_co2_tons_per_capita_2018
COD,"Congo, Dem. Rep.",Sub-Saharan Africa,Low income,2.8125011415956465,62.074,19.67350006,44.7455804408753,4.421,22.1,0.02413783526205175,-1.6592795208294326,-1.6125286598404878,-1.9740212231283116,-0.7962077420840619,-0.42548402134531915,-2.786863594754454,-1.5528782696140317
COG,"Congo, Rep.",Sub-Saharan Africa,Lower middle income,3.3948453435058457,66.001,47.25159836,63.8866111699904,19.895,51.3,0.4620074350030446,-0.735221213322987,-1.0580476696043488,-0.9078579100109448,0.10578583458450928,2.3298620608727227,-1.528454014153441,-1.0223957465348008
COL,Colombia,Latin America & Caribbean,Upper middle income,3.8986817975852635,77.913,79.34543299,78.5210811866115,9.619,98.7,0.9637220068700744,0.06426173763540538,0.6238921204880556,0.3328827925400238,0.7954142114337468,0.5000871907116397,0.5143067433975185,-0.41456452895981777
COM,Comoros,Sub-Saharan Africa,Lower middle income,3.2208286890118907,67.023,32.51750183,33.5392215673301,3.815,89.8,0.290403259415838,-1.0113492055003943,-0.9137442389903104,-1.477474893797528,-1.324291305860249,-0.5333901688071347,0.13075039862529164,-1.230295578106301
CPV,Cabo Verde,Sub-Saharan Africa,Upper middle income,3.715374964013833,76.224,74.73519897,76.7721471004354,11.883,98.6,0.7919059931685207,-0.22660782340557867,0.3854102278196489,0.15465214285778656,0.7129982049985237,0.9032217086217887,0.5099971215461447,-0.622721004101572
CRI,Costa Rica,Latin America & Caribbean,High income,4.2692128789936765,80.996,87.17019653,79.3107672397967,6.936,100.0,0.9806000432616379,0.6522169758633806,1.0592027629372567,0.6353864579275087,0.8326270322916307,0.022344296916175923,0.5703318274653716,-0.3941166528457513
CUB,Cuba,Latin America & Caribbean,Upper middle income,3.982509990710512,78.264,70.47699738,77.1664929228275,1.755,100.0,1.170647400604574,0.19727952678235716,0.6734523006695896,-0.00996900925102426,0.7315811853937598,-0.9001998449974647,0.5703318274653716,-0.16387275903020493
CYP,Cyprus,Europe & Central Asia,High income,4.58742238280897,81.821,89.60099246,66.6824259192483,4.9,100.0,1.900555818506368,1.1571488264141476,1.1756903659280424,0.7293605026222806,0.2375345884042291,-0.34019186848358707,0.5703318274653716,0.7204171285855393
CZE,Czechia,Europe & Central Asia,High income,4.50274531978707,79.9780487804878,87.68776014,72.7947984592185,2.6,100.0,2.3646867409468375,1.0227840584917218,0.9154710083645019,0.655395355103228,0.525571363815297,-0.7497366525795868,0.5703318274653716,1.2827154542079402
DEU,Germany,Europe & Central Asia,High income,4.748991753792803,80.7926829268293,93.49999579,82.0211432579125,3.4,100.0,2.2574192831391606,1.413525586080459,1.0304949829363401,0.8800951277203586,0.9603496086405799,-0.6072862928940216,0.5703318274653716,1.152760070925404
DJI,Djibouti,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,3.5505613904608593,66.202,65.29889679,72.9052635052978,26.007,65.2,0.37647552242666543,-0.48813245322396753,-1.0296670536029584,-0.21015325765836967,0.5307768704267234,3.4181828088704402,-0.9294165768125477,-1.1260183428834598
DNK,Denmark,Europe & Central Asia,High income,4.851420311746018,82.2536585365854,99.76915157,88.6960552688405,5.358,100.0,1.911243895749075,1.5760582593553103,1.2367804942193577,1.1224593336980309,1.2748952485222882,-0.2586390375636012,0.5703318274653716,0.7333658196705808
