country_code,country_name,region,income_level,start_year,end_year,years_observed,start_som_row,start_som_col,end_som_row,end_som_col,complete_full_window,total_feature_distance,mean_feature_step,max_single_year_feature_step,total_som_steps,max_single_year_som_step
GRC,Greece,Europe & Central Asia,High income,2014,2023,10,0,1,0,7,True,2.9352,0.3261,0.4186,8,3
IRN,"Iran, Islamic Rep.","Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,2014,2023,10,3,4,3,6,True,2.8959,0.3218,0.428,6,2
BGD,Bangladesh,South Asia,Lower middle income,2014,2023,10,9,4,9,7,True,2.8953,0.3217,0.5022,5,3
ESP,Spain,Europe & Central Asia,High income,2014,2023,10,0,2,0,7,True,2.8921,0.3213,0.4315,5,4
SRB,Serbia,Europe & Central Asia,Upper middle income,2014,2023,10,1,2,6,10,True,2.8579,0.3175,0.4186,13,10
ARM,Armenia,Europe & Central Asia,Upper middle income,2014,2023,10,2,3,0,4,True,2.853,0.317,0.5211,5,1
IND,India,South Asia,Lower middle income,2014,2023,10,9,5,9,8,True,2.8495,0.3166,0.6557,3,1
BRN,Brunei Darussalam,East Asia & Pacific,High income,2014,2023,10,3,8,4,10,True,2.8299,0.3144,0.6752,3,3
HRV,Croatia,Europe & Central Asia,High income,2014,2023,10,0,3,6,11,True,2.8088,0.3121,0.55,14,13
LSO,Lesotho,Sub-Saharan Africa,Lower middle income,2014,2023,10,6,0,5,0,True,2.8014,0.3113,0.5328,1,1
JAM,Jamaica,Latin America & Caribbean,Upper middle income,2014,2023,10,4,4,7,9,True,2.7445,0.3049,0.5643,8,6
PRY,Paraguay,Latin America & Caribbean,Upper middle income,2014,2023,10,5,6,5,8,True,2.7409,0.3045,0.5964,12,5
MNE,Montenegro,Europe & Central Asia,Upper middle income,2014,2023,10,0,3,0,4,True,2.7263,0.3029,0.5046,3,1
AGO,Angola,Sub-Saharan Africa,Lower middle income,2014,2023,10,4,0,4,2,True,2.6684,0.2965,0.5013,2,1
BGR,Bulgaria,Europe & Central Asia,High income,2014,2023,10,3,4,4,9,True,2.6574,0.2953,0.4323,8,3
KGZ,Kyrgyz Republic,Europe & Central Asia,Lower middle income,2014,2023,10,8,5,9,10,True,2.6509,0.2945,0.4196,6,3
DZA,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,2014,2023,10,4,4,2,5,True,2.6386,0.2932,0.5189,3,1
GEO,Georgia,Europe & Central Asia,Upper middle income,2014,2023,10,2,2,1,4,True,2.6146,0.2905,0.4546,3,1
EGY,"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,2014,2023,10,9,6,9,11,True,2.6121,0.2902,0.5521,25,9
SEN,Senegal,Sub-Saharan Africa,Lower middle income,2014,2023,10,7,4,6,4,True,2.6066,0.2896,0.4428,7,3
ECU,Ecuador,Latin America & Caribbean,Upper middle income,2014,2023,10,5,6,5,8,True,2.5852,0.2872,0.8697,4,3
SAU,Saudi Arabia,"Middle East, North Africa, Afghanistan & Pakistan",High income,2014,2023,10,3,8,2,9,True,2.5788,0.2865,0.6758,6,2
